CG_name	Gene	Chromosome	Site
CG10000	CG10000	3R	98E3-98E3
CG10001	AstA-R2	3R	98E2-98E3
CG10002	fkh	3R	98D5-98D5
CG10005	CG10005	3R	87A4-87A4
CG10006	Zip71B	3L	71B1-71B1
CG10007	Tango9	3R	87A4-87A4
CG10009	Noa36	3R	98D6-98D6
CG10011	CG10011	3R	98D6-98D7
CG10013	CG10013	3R	87B6-87B7
CG10014	Rsbp15	3R	87B2-87B2
CG10016	drm	2L	24A1-24A1
CG10018	Snm1	3R	83B1-83B2
CG10019	CG10019	2L	24C2-24C3
CG10021	bowl	2L	24C3-24C4
CG10023	Fak	2R	56D5-56D5
CG10026	CG10026	2L	37E1-37E1
CG10029	CG10029	3R	84D3-84D3
CG10031	CG10031	2L	24B3-24C1
CG10033	for	2L	24A2-24A4
CG10034	tj	2L	37E3-37E3
CG10035	CG10035	3R	87B9-87B9
CG10036	otp	2R	57B4-57B4
CG10037	vvl	3L	65C5-65C5
CG10038	CG10038	3R	87B7-87B7
CG1004	rho	3L	62A2-62A2
CG10041	CG10041	3R	87B7-87B7
CG10042	MBD-R2	3R	87B7-87B8
CG10043	RtGEF	2L	38C5-38C5
CG10045	GstD1	3R	87B8-87B8
CG10047	Syt4	3R	84D3-84D3
CG10050	Dtwd2	3R	84D3-84D3
CG10051	CG10051	2R	56D2-56D2
CG10052	Rx	2R	57B4-57B4
CG10053	CG10053	3R	84D3-84D3
CG10055	CG10055	3R	84D1-84D1
CG10059	MAGE	3R	84C7-84C7
CG10060	Galphai	3L	65D5-65D5
CG10061	Sas-4	3R	84C6-84C7
CG10062	CG10062	2R	56D2-56D2
CG10063	CG10063	3L	65D5-65D5
CG10064	CG10064	3L	65D5-65D5
CG10067	Act57B	2R	57B5-57B5
CG10068	CG10068	3R	84C4-84C4
CG10069	MFS16	2R	57D7-57D7
CG1007	emc	3L	61C9-61C9
CG10071	RpL29	2R	57D8-57D8
CG10072	sgl	3L	65D4-65D5
CG10073	CG10073	2R	56D2-56D2
CG10075	CG10075	3L	65D4-65D4
CG10076	spir	2L	38C5-38C5
CG10077	CG10077	3L	65D3-65D4
CG10078	Prat2	3L	65D2-65D3
CG10079	Egfr	2R	57E9-57F1
CG10080	mahj	2R	57F4-57F5
CG10081	CG10081	2R	56D2-56D3
CG10082	CG10082	2R	57F6-57F6
CG10083	Abp1	3L	70B2-70B2
CG10084	swm	2L	37E4-37E4
CG10086	CG10086	3R	84E1-84E1
CG10089	CG10089	3L	70B2-70B2
CG1009	Psa	3L	62A3-62A3
CG10090	Tim17a1	3R	87B8-87B8
CG10091	GstD9	3R	87B8-87B8
CG10092	ArgRS-m	3R	84E4-84E4
CG10093	Cyp313a3	3R	87B3-87B3
CG10094	Cyp313a2	3R	87B3-87B3
CG10095	dpr15	3R	87A10-87B1
CG10096	CG10096	3R	87B9-87B9
CG10097	CG10097	3R	87B9-87B9
CG10098	CG10098	3R	84C3-84C4
CG10101	Ir84a	3R	84D6-84D6
CG10103	Ist1	3L	65C3-65C4
CG10104	CG10104	2R	51A1-51A1
CG10105	Sin1	2R	51A2-51A2
CG10106	Tsp42Ee	2R	42E5-42E5
CG10107	velo	3L	65C3-65C3
CG10108	phyl	2R	51A2-51A2
CG10110	Cpsf160	2R	51A4-51A4
CG10112	Cpr51A	2R	51A4-51A4
CG10113	wa-cup	3R	84D6-84D6
CG10116	CG10116	3L	70B1-70B1
CG10117	ttv	2R	51A6-51B4
CG10118	ple	3L	65C3-65C3
CG10119	LamC	2R	51B1-51B1
CG10120	Men	3R	87C6-87C7
CG10121	SP1173	3L	65C1-65C3
CG10122	Polr1A	2R	51B4-51B6
CG10123	Top3alpha	2L	37E4-37E4
CG10124	eIF4E4	3L	65C1-65C1
CG10125	zpg	3L	65B5-65B5
CG10126	CG10126	3R	87D2-87D2
CG10128	tra2	2R	51B6-51B6
CG10129	ndl	3L	65B5-65B5
CG10130	Sec61beta	2R	51B6-51B6
CG10131	Had2	2R	51B6-51B6
CG10132	CG10132	2L	37E5-37E5
CG10133	JMJD7	3L	70B1-70B1
CG10134	beat-Va	3R	87D2-87D2
CG10137	CG10137	2L	37E5-37F1
CG10138	PpD5	2R	58B1-58B1
CG10139	CG10139	2R	51B7-51B7
CG1014	robl62A	3L	62A2-62A2
CG10140	CG10140	3L	70B1-70B1
CG10142	Ance-5	2R	60E5-60E5
CG10143	Adgf-E	2R	51B7-51B8
CG10144	Vps8	3L	65B3-65B3
CG10145	mspo	2R	51B9-51C1
CG10146	AttA	2R	51C1-51C1
CG10147	CG10147	3L	65B3-65B3
CG10149	Rpn6	2R	51C1-51C2
CG10151	CG10151	2R	51C2-51C2
CG10152	beat-IV	3R	95A2-95A2
CG10153	Trs31	2R	51C2-51C2
CG10154	CG10154	3L	70B1-70B1
CG10155	Spred	2R	51C2-51C2
CG10157	GILT2	3R	95A7-95A7
CG10158	Fgop2	2L	27C6-27C6
CG10159	BEAF-32	2R	51C2-51C2
CG10160	Ldh	3L	65A11-65A11
CG10161	eIF3d1	3R	95A7-95A7
CG10163	CG10163	3L	65A10-65A11
CG10164	CG10164	3R	95A2-95A2
CG10165	CG10165	2L	37E5-37E5
CG10166	Dpm1	2L	37E5-37E5
CG10168	Ugt303B2	3R	95A1-95A1
CG1017	Mfap1	3L	62B11-62B11
CG10170	Ugt303B3	3R	95A1-95A1
CG10171	CG10171	3L	70A7-70A8
CG10173	Best2	3L	65A10-65A10
CG10174	Ntf-2r	2L	36F5-36F5
CG10175	CG10175	3R	95A1-95A1
CG10176	grnd	2L	36F5-36F5
CG10177	CG10177	3R	95A1-95A1
CG10178	Ugt301D1	2L	36F6-36F6
CG10181	Mdr65	3L	65A10-65A10
CG10182	CG10182	3R	95A2-95A3
CG10183	CG10183	3R	95A3-95A3
CG10184	CG10184	3R	95A4-95A4
CG10185	CG10185	3R	89B2-89B2
CG10186	Hasp	2L	37E5-37E5
CG10188	cyst	2L	37E4-37E5
CG10189	CG10189	2L	37E4-37E4
CG1019	Mlp84B	3R	84C1-84C1
CG10191	Poc1	3L	70A8-70A8
CG10192	eIF4G2	3R	95B9-95C1
CG10194	CG10194	2L	37E4-37E4
CG10195	CG10195	2L	37E3-37E3
CG10197	kn	2R	51C2-51C3
CG10198	Nup98-96	3R	95B1-95B5
CG10200	hui	2R	51C3-51C4
CG10202	Pgm2b	2R	51C4-51C4
CG10203	x16	2L	27C4-27C4
CG10205	CG10205	2R	51C4-51C4
CG10206	nop5	2L	27C4-27C4
CG10207	NaPi-T	2R	51C5-51C5
CG10208	CG10208	3R	95B1-95B1
CG10209	CG10209	2R	51C5-51C5
CG1021	Dmtn	3R	83E5-83E6
CG10210	tst	3R	95B1-95B1
CG10211	CG10211	2L	36F6-36F6
CG10212	SMC2	2R	51C5-51C5
CG10214	CG10214	3R	95B1-95B1
CG10215	Ercc1	2R	51C5-51C5
CG10217	udt	3R	95B1-95B1
